time,open,high,low,close,volume
1782735000000,60447.8,60758.3,60368.8,60651.0,3126.231
1782735300000,60651.1,60742.1,60565.5,60702.0,1927.138
1782735600000,60702.1,60741.3,60383.8,60399.9,2689.106
1782735900000,60399.9,60478.5,60390.0,60412.2,948.02
1782736200000,60412.3,60438.8,60320.0,60344.1,1069.513
1782736500000,60344.0,60357.8,59829.3,59867.4,4556.958
1782736800000,59867.4,59943.0,59774.0,59919.9,2782.783
1782737100000,59920.0,60025.9,59890.4,59890.4,972.584
1782737400000,59890.4,59940.9,59749.0,59900.1,1311.438
1782737700000,59900.0,59960.0,59895.4,59923.5,505.237
1782738000000,59923.5,60111.9,59923.5,60094.2,1004.968
1782738300000,60094.2,60217.7,60043.6,60068.6,941.693
1782738600000,60068.6,60313.0,60055.7,60191.9,890.194
1782738900000,60191.9,60281.9,60180.2,60251.6,392.336
1782739200000,60251.6,60257.7,60033.1,60038.6,727.827
1782739500000,60038.6,60046.6,59933.8,59950.1,825.346
1782739800000,59950.0,60253.3,59804.0,60083.3,1986.05
1782740100000,60083.3,60083.3,59701.6,59716.9,2043.951
1782740400000,59716.9,59769.7,59421.0,59432.2,5024.632
1782740700000,59432.2,59548.9,59302.8,59371.0,3621.661
1782741000000,59371.0,59577.6,59313.9,59431.4,2534.828
1782741300000,59431.4,59568.9,59333.6,59559.3,1682.891
1782741600000,59559.4,59575.0,59373.2,59464.9,1273.772
1782741900000,59464.8,59464.9,59150.0,59251.8,3035.024
1782742200000,59251.8,59322.4,59063.0,59070.2,3091.717
1782742500000,59070.1,59230.1,58988.0,59122.9,3912.301
1782742800000,59122.8,59285.7,59014.8,59282.4,1637.062
1782743100000,59282.3,59546.3,59258.7,59481.6,2572.144
1782743400000,59481.6,59689.6,59323.9,59556.0,2332.403
1782743700000,59556.0,59599.0,59489.0,59540.8,883.646
1782744000000,59540.9,59543.4,59285.7,59289.2,1018.492
1782744300000,59289.1,59363.8,59221.2,59342.7,798.354
1782744600000,59342.8,59587.6,59292.9,59563.3,1121.98
1782744900000,59563.2,59563.2,59355.4,59444.0,659.387
1782745200000,59444.1,59456.6,59165.5,59199.7,1000.435
1782745500000,59199.7,59241.8,59100.0,59233.6,1024.681
1782745800000,59233.7,59284.0,59067.6,59236.6,809.866
1782746100000,59236.7,59382.0,59223.4,59366.8,707.488
1782746400000,59366.7,59366.7,59111.4,59193.7,982.99
1782746700000,59193.5,59475.0,59146.3,59470.4,738.079
1782747000000,59470.4,59697.8,59470.4,59616.1,2776.505
1782747300000,59616.1,59855.0,59571.6,59793.9,3192.937
1782747600000,59793.8,59832.5,59643.7,59809.4,2385.408
1782747900000,59809.4,59922.5,59735.5,59900.9,3072.583
1782748200000,59901.0,59939.2,59814.9,59889.5,1139.927
1782748500000,59889.5,59928.6,59785.9,59800.2,608.313
1782748800000,59800.3,59817.9,59754.4,59776.2,711.384
1782749100000,59776.3,59925.3,59773.4,59773.4,793.915
1782749400000,59773.4,59821.2,59684.2,59709.9,848.411
1782749700000,59709.9,59765.9,59707.2,59753.2,285.24
1782750000000,59753.3,59753.3,59638.1,59661.8,496.405
1782750300000,59661.7,59679.4,59562.6,59583.6,527.052
1782750600000,59583.6,59723.8,59583.6,59674.5,531.005
1782750900000,59674.5,59815.5,59655.8,59810.7,352.564
1782751200000,59810.7,59872.8,59788.1,59859.4,602.847
1782751500000,59859.5,59949.3,59806.3,59941.1,495.285
1782751800000,59941.0,59999.0,59810.6,59848.8,666.424
1782752100000,59848.9,59896.7,59803.0,59870.9,232.709
1782752400000,59870.9,60156.5,59870.9,60140.5,1879.355
1782752700000,60140.6,60264.9,60140.4,60195.2,1753.422
1782753000000,60195.2,60480.0,60195.2,60440.7,2284.184
1782753300000,60440.7,60624.1,60440.7,60577.3,3641.193
1782753600000,60577.3,60620.0,60384.4,60415.3,1715.882
1782753900000,60415.3,60552.1,60380.2,60526.8,1036.501
1782754200000,60526.8,60666.6,60473.6,60483.0,1276.915
1782754500000,60483.0,60483.0,60368.0,60414.1,813.682
1782754800000,60414.1,60640.0,60414.1,60594.5,875.256
1782755100000,60594.6,60637.6,60517.1,60559.3,775.301
1782755400000,60559.4,60564.4,60450.6,60479.8,712.549
1782755700000,60479.8,60518.7,60376.8,60396.0,666.953
